Rk,Player,Age,Team,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,Sfty,Awards
8,0.0,38.0,30.0,78.9,293.0,9.8,7.7,0,98.8,3.5,92.0,201.0,19.0,2.0,0.0,0.0,2.5,5,85,5.0,5.6,,BrooJo01
8,1.0,27.0,20.0,74.1,247.0,12.4,9.1,2,111.2,2.6,45.0,202.0,25.0,1.0,2.0,0.0,2.0,5,83,2.0,2.4,,WagnBo00
8,0.0,27.0,22.0,81.5,175.0,8.0,6.5,1,106.0,1.6,6.0,169.0,13.0,2.0,1.0,0.0,0.0,3,75,3.0,3.8,,GrayCe00
7,0.0,29.0,23.0,79.3,203.0,8.8,7.0,2,118.8,4.1,47.0,156.0,19.0,0.0,2.0,2.0,1.0,3,75,6.0,7.4,,SherJa00
8,0.0,21.0,15.0,71.4,169.0,11.3,8.0,2,126.9,3.7,20.0,149.0,11.0,1.0,1.0,0.0,0.0,2,72,9.0,11.1,,DaviDe00
8,0.0,36.0,29.0,80.6,363.0,12.5,10.1,3,136.5,5.2,164.0,199.0,23.0,2.0,2.0,0.0,1.0,5,70,7.0,9.1,,SingAl00
8,0.0,32.0,20.0,62.5,216.0,10.8,6.8,2,103.1,4.3,89.0,127.0,13.0,0.0,0.0,0.0,1.0,1,68,2.0,2.9,,OkerBo00
7,0.0,32.0,21.0,65.6,192.0,9.1,6.0,0,81.8,2.8,56.0,136.0,18.0,1.0,2.0,1.0,1.5,5,67,3.0,4.3,,LandNa01
8,2.0,31.0,27.0,87.1,255.0,9.4,8.2,0,74.1,3.1,79.0,176.0,15.0,2.0,0.0,0.0,1.0,3,67,8.0,10.7,,SpilRo00
8,0.0,32.0,20.0,62.5,221.0,11.1,6.9,0,82.9,10.0,130.0,91.0,14.0,1.0,0.0,3.0,2.0,3,66,4.0,5.7,,SmitTy05
