Rk,Player,Age,Team,Pos,G,GS,FGA_0_19,FGM_0_19,FGA_20_29,FGM_20_29,FGA_30_39,FGM_30_39,FGA_40_49,FGM_40_49,FGA_50_plus,FGM_50_plus,FGA_Total,FGM_Total,Lng,FG_Pct,XPA,XPM,XP_Pct,KO,KO_Yds,TB,TB_Pct,KO_Avg,Awards,Player_ID
1,Blake Grupe,27,NOR,K,8,0,0.0,0,6,6,5,4,4,2,6,3,21,15,54,71.4,11,11,100.0,33,1992,6,18.2,60,,GrupBl00
2,Chase McLaughlin,29,TAM,K,8,0,0.0,0,1,1,6,5,6,3,8,8,21,17,65,81.0,17,16,94.1,42,2557,1,2.4,61,,McLaCh00
3,Joey Slye,29,TEN,K,7,0,0.0,0,1,1,4,4,6,4,9,6,20,15,57,75.0,8,7,87.5,27,1675,8,29.6,62,,SlyeJo00
4,Cameron Dicker,25,LAC,K,8,0,0.0,0,3,3,9,9,6,5,1,1,19,18,55,94.7,18,18,100.0,44,2741,6,13.6,62,,DickCa00
5,Ka'imi Fairbairn,31,HOU,K,7,0,0.0,0,1,1,7,7,4,4,7,5,19,17,57,89.5,12,12,100.0,37,2271,6,16.2,61,,FairKa01
6,Nick Folk,41,NYJ,K,8,0,0.0,0,3,3,4,4,5,5,5,5,17,17,58,100.0,9,9,100.0,29,1601,6,20.7,55,,FolkNi20
7,Jason Myers,34,SEA,K,7,0,0.0,0,2,2,4,3,5,4,6,4,17,13,56,76.5,22,22,100.0,41,2550,6,14.6,62,,MyerJa00
8,Eddy Piñeiro,30,SFO,K,7,0,0.0,0,4,4,3,3,5,5,5,5,17,17,59,100.0,11,10,90.9,36,2183,6,16.7,61,,PineEd00
9,Brandon Aubrey,30,DAL,K,8,0,0.0,0,5,5,2,2,4,4,5,5,16,16,64,100.0,27,26,96.3,50,3077,15,30.0,62,,AubrBr00
10,Chris Boswell,34,PIT,K,7,0,0.0,0,0,0,2,1,7,7,7,6,16,14,60,87.5,17,17,100.0,40,2410,2,5.0,60,,BoswCh00
