Rk,Player,Age,Team,Pos,G,GS,Rush_Att,Rush_Yds,Rush_TD,Rec_Tgt,Rec,Rec_Yds,Rec_TD,Touch,YScm,RRTD,Fmb,Awards,Total_Touches,Total_Scrimmage_Yards,Total_Scrimmage_TDs,Touches_per_Game,Scrimmage_Yards_per_Game,Scrimmage_TDs_per_Game,Yards_per_Touch,Rush_Percentage,Rec_Percentage,Dual_Threat,Rush_Yards_per_Attempt,Rec_Yards_per_Target,Catch_Rate,High_Volume_Player,Elite_Producer,TD_Threat,Fumble_Prone,Total_Scrimmage_Target,Total_TD_Target,Anytime_TD,Player_Role,Fantasy_Points_Est,Fantasy_Points_per_Game,Year
16,D'Andre Swift,26,CHI,RB,7,7,24,18,192,10.7,1,7,37.5,55,2.6,27.4,75.0,8.0,55,2.6,27.4,7.857,0.371,3.914,0.047,0.436,0.018,1,0.75,0.654,0.093,0,0,1,1,6.314,66.543,1,Dual_Threat,167.4,23.914,2015
17,Josh Jacobs,27,GNB,RB,7,7,23,19,191,10.1,0,6,52.2,31,2.7,27.3,82.6,8.3,31,2.7,27.3,4.429,0.386,3.9,0.087,0.742,0.0,1,0.826,0.594,0.0,0,0,1,1,6.557,66.3,1,Dual_Threat,166.3,23.757,2016
18,Kyren Williams,25,LAR,RB,7,7,26,20,166,8.3,3,8,46.2,30,2.9,23.7,76.9,6.4,30,2.9,23.7,4.286,0.414,3.386,0.097,0.867,0.1,1,0.769,0.964,0.361,0,0,1,1,7.043,57.557,1,Dual_Threat,146.5,20.929,2017
19,Cam Skattebo,23,NYG,RB,8,5,32,24,207,8.6,2,11,56.3,21,3.0,25.9,75.0,6.5,21,3.0,25.9,2.625,0.375,3.238,0.143,1.524,0.095,1,0.75,1.279,0.233,0,0,1,1,6.375,55.037,1,Dual_Threat,159.9,19.987,2018
20,Justin Jefferson,26,MIN,WR,7,7,63,41,602,14.7,1,23,52.4,50,5.9,86.0,65.1,9.6,50,5.9,86.0,7.143,0.843,12.286,0.118,1.26,0.02,1,0.651,1.565,0.068,0,0,1,1,14.329,208.857,1,Dual_Threat,522.9,74.7,2019
21,Travis Etienne,26,JAX,RB,7,7,22,14,80,5.7,1,4,36.4,11,2.0,11.4,63.6,3.6,11,2.0,11.4,1.571,0.286,1.629,0.182,2.0,0.091,1,0.636,0.702,0.175,0,0,1,1,4.857,27.686,1,Dual_Threat,70.7,10.1,2020
22,DeVonta Smith,27,PHI,WR,8,8,55,44,588,13.4,2,25,61.8,79,5.5,73.5,80.0,10.7,79,5.5,73.5,9.875,0.688,9.188,0.07,0.696,0.025,1,0.8,1.866,0.149,0,0,1,1,11.688,156.188,1,Dual_Threat,448.9,56.112,2021
23,Emeka Egbuka,23,TAM,WR,8,7,63,34,562,16.5,5,21,42.9,77,4.3,70.3,54.0,8.9,77,4.3,70.3,9.625,0.538,8.788,0.056,0.818,0.065,1,0.54,1.273,0.303,0,0,1,1,9.138,149.388,1,Dual_Threat,429.8,53.725,2022
24,Jaylen Warren,27,PIT,RB,6,6,22,19,195,10.3,1,9,63.6,65,3.2,32.5,86.4,8.9,65,3.2,32.5,10.833,0.533,5.417,0.049,0.338,0.015,1,0.864,0.874,0.097,0,0,1,1,9.067,92.083,1,Dual_Threat,198.3,33.05,2023
25,Tony Pollard,28,TEN,RB,8,8,22,18,131,7.3,0,6,54.5,29,2.3,16.4,81.8,6.0,29,2.3,16.4,3.625,0.288,2.05,0.079,0.759,0.0,1,0.818,0.822,0.0,0,0,1,1,4.887,34.85,1,Dual_Threat,100.8,12.6,2024
26,Derrick Henry,31,BAL,RB,7,7,9,5,44,8.8,0,1,55.6,13,0.7,6.3,55.6,4.9,13,0.7,6.3,1.857,0.1,0.9,0.054,0.692,0.0,1,0.556,0.114,0.0,0,0,0,1,1.7,15.3,1,Dual_Threat,38.4,5.486,2025
42,Rome Odunze,23,CHI,WR,7,7,56,31,473,15.3,5,27,51.8,37,4.4,67.6,55.4,8.4,37,4.4,67.6,5.286,0.629,9.657,0.119,1.514,0.135,1,0.554,1.765,0.327,0,0,1,1,10.686,164.171,1,Dual_Threat,413.9,59.129,2015
43,Tucker Kraft,25,GNB,TE,7,7,41,30,469,15.6,6,21,63.4,59,4.3,67.0,73.2,11.4,59,4.3,67.0,8.429,0.614,9.571,0.073,0.695,0.102,1,0.732,1.346,0.385,0,0,1,1,10.443,162.714,1,Dual_Threat,410.1,58.586,2016
44,Stefon Diggs,32,NWE,WR,8,8,49,42,470,11.2,1,23,65.3,33,5.3,58.8,85.7,9.6,33,5.3,58.8,4.125,0.662,7.35,0.161,1.485,0.03,1,0.857,2.054,0.089,0,0,1,1,11.262,124.95,1,Dual_Threat,359.8,44.975,2017
45,Drake London,24,ATL,WR,6,6,63,38,469,12.3,2,20,52.4,43,6.3,78.2,60.3,7.4,43,6.3,78.2,7.167,1.05,13.033,0.147,1.465,0.047,1,0.603,1.626,0.163,0,0,1,1,17.85,221.567,1,Dual_Threat,476.0,79.333,2018
46,Ladd McConkey,24,LAC,WR,8,6,68,43,468,10.9,3,23,52.9,42,5.4,58.5,63.2,6.9,42,5.4,58.5,5.25,0.675,7.312,0.129,1.619,0.071,1,0.632,2.11,0.275,0,0,1,1,11.475,124.312,1,Dual_Threat,359.1,44.888,2019
47,Jacory Croskey-Merritt,24,WAS,RB,8,4,11,7,60,8.6,0,2,45.5,28,0.9,7.5,63.6,5.5,28,0.9,7.5,3.5,0.112,0.938,0.032,0.393,0.0,1,0.636,0.233,0.0,0,0,0,1,1.912,15.938,1,Dual_Threat,45.9,5.738,2020
48,D.K. Metcalf,28,PIT,WR,7,7,43,27,461,17.1,5,21,60.5,80,3.9,65.9,62.8,10.7,80,3.9,65.9,11.429,0.557,9.414,0.049,0.538,0.062,1,0.628,1.228,0.292,0,0,1,1,9.471,160.043,1,Dual_Threat,402.7,57.529,2021
