player_id,player_name,season,week,opponent_team,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,fantasy_points_ppr,fantasy_points
00-0019596,T.Brady,2020,1,NO,23,36,239.0,2,2.0,3.0,15.0,292.0,90.0,10.0,-9.496857305171483,0,20.46,20.46
00-0019596,T.Brady,2020,2,CAR,23,35,217.0,1,1.0,0.0,-0.0,234.0,110.0,11.0,0.5243794667787496,0,8.68,8.68
00-0019596,T.Brady,2020,3,DEN,25,38,297.0,3,0.0,2.0,12.0,311.0,111.0,12.0,11.559702415165699,0,23.880000000000003,23.880000000000003
00-0019596,T.Brady,2020,4,LAC,30,46,369.0,5,1.0,0.0,-0.0,434.0,109.0,20.0,12.685635962449847,0,32.46,32.46
00-0019596,T.Brady,2020,5,CHI,25,41,253.0,1,0.0,3.0,20.0,383.0,100.0,11.0,0.32756777868710074,0,14.120000000000001,14.120000000000001
00-0019596,T.Brady,2020,6,GB,17,27,166.0,2,0.0,0.0,-0.0,231.0,72.0,9.0,6.482448989215594,0,14.64,14.64
00-0019596,T.Brady,2020,7,LV,33,45,369.0,4,0.0,0.0,-0.0,399.0,134.0,22.0,26.70009982404995,0,36.86,36.86
00-0019596,T.Brady,2020,8,NYG,28,40,279.0,2,0.0,2.0,16.0,364.0,94.0,18.0,10.68083208984434,0,19.06,19.06
00-0019596,T.Brady,2020,9,NO,22,38,209.0,0,3.0,3.0,23.0,365.0,80.0,10.0,-23.323347739479622,0,2.3599999999999994,2.3599999999999994
00-0019596,T.Brady,2020,10,CAR,28,39,341.0,3,0.0,1.0,7.0,324.0,168.0,18.0,28.041578160864013,0,31.84,31.84
00-0019596,T.Brady,2020,11,LA,26,48,216.0,2,2.0,1.0,7.0,420.0,83.0,14.0,-9.628150643939989,0,12.64,12.64
00-0019596,T.Brady,2020,12,KC,27,41,345.0,3,2.0,1.0,3.0,392.0,141.0,14.0,7.231104038787295,0,21.7,21.7
00-0019596,T.Brady,2020,14,MIN,15,23,196.0,2,0.0,0.0,-0.0,228.0,57.0,8.0,8.709685503128247,0,15.64,15.64
