player_id,player_name,season,week,opponent_team,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,fantasy_points_ppr,fantasy_points
00-0023500,F.Gore,2020,1,BUF,6,24.0,0,0.0,0.0,1.0,-0.40239067329093814,0,0,0,0.0,0,2.4000000000000004,2.4000000000000004
00-0023500,F.Gore,2020,2,SF,21,63.0,0,0.0,0.0,2.0,-7.878234968872027,0,0,2,0.0,0,6.300000000000001,6.300000000000001
00-0023500,F.Gore,2020,3,IND,15,57.0,0,0.0,0.0,5.0,-0.7639893253799528,0,1,1,5.0,0,7.2,6.2
00-0023500,F.Gore,2020,4,DEN,13,30.0,0,0.0,0.0,1.0,-4.734140955028124,0,1,2,6.0,0,4.6,3.6
00-0023500,F.Gore,2020,5,ARI,9,30.0,0,0.0,0.0,3.0,-1.3821114691672847,0,0,0,0.0,0,3.0,3.0
00-0023500,F.Gore,2020,6,MIA,11,46.0,0,0.0,0.0,2.0,-2.844277613563463,0,4,4,24.0,0,11.0,7.0
00-0023500,F.Gore,2020,7,BUF,11,60.0,0,0.0,0.0,3.0,1.0016778949648142,0,0,0,0.0,0,6.0,6.0
00-0023500,F.Gore,2020,8,KC,10,30.0,0,0.0,0.0,1.0,-2.6515686084749177,0,0,0,0.0,0,3.0,3.0
00-0023500,F.Gore,2020,9,NE,12,46.0,0,0.0,0.0,3.0,-0.23808121093316004,0,2,2,13.0,0,7.9,5.9
00-0023500,F.Gore,2020,11,LAC,15,61.0,1,0.0,0.0,4.0,-0.2665655642049387,0,2,2,10.0,0,15.100000000000001,13.100000000000001
00-0023500,F.Gore,2020,12,MIA,18,74.0,0,0.0,0.0,2.0,-6.469320397358388,0,3,3,12.0,0,11.6,8.6
00-0023500,F.Gore,2020,13,LV,1,2.0,0,0.0,0.0,0.0,-0.6479113097302616,0,0,0,0.0,0,0.2,0.2
00-0023500,F.Gore,2020,14,SEA,8,23.0,0,1.0,1.0,1.0,-6.848466847324744,0,1,1,8.0,0,2.1,1.1
00-0023500,F.Gore,2020,15,LA,23,59.0,1,0.0,0.0,4.0,-3.897368056117557,0,1,1,6.0,0,13.5,12.5
00-0023500,F.Gore,2020,16,CLE,14,48.0,0,0.0,0.0,0.0,-3.2832691168878227,0,1,1,5.0,0,6.300000000000001,5.300000000000001
00-0025394,A.Peterson,2020,1,CHI,14,93.0,0,0.0,0.0,5.0,0.25188815454021096,0,3,3,21.0,0,14.4,11.4
00-0025394,A.Peterson,2020,2,GB,7,41.0,0,0.0,0.0,3.0,1.91965998779051,0,0,0,0.0,0,4.1000000000000005,4.1000000000000005
00-0025394,A.Peterson,2020,3,ARI,22,75.0,0,0.0,0.0,2.0,-4.003818503639195,0,1,1,10.0,0,9.5,8.5
00-0025394,A.Peterson,2020,4,NO,11,36.0,1,0.0,0.0,1.0,-0.34733944525942206,0,0,2,0.0,0,9.6,9.6
00-0025394,A.Peterson,2020,6,JAX,15,40.0,1,0.0,0.0,3.0,-2.383571548794862,0,1,1,18.0,0,12.8,11.8
00-0025394,A.Peterson,2020,7,ATL,11,29.0,0,0.0,0.0,1.0,-4.75049826229224,0,1,1,1.0,0,4.0,3.0
00-0025394,A.Peterson,2020,8,IND,5,7.0,0,0.0,0.0,0.0,-2.785265761311166,0,1,1,5.0,0,2.2,1.2000000000000002
00-0025394,A.Peterson,2020,9,MIN,8,29.0,0,0.0,0.0,3.0,-1.6588145932160536,0,3,5,14.0,0,7.3,4.3
00-0025394,A.Peterson,2020,10,WAS,4,21.0,0,0.0,0.0,2.0,-0.017105166683904827,0,1,1,9.0,0,4.0,3.0
00-0025394,A.Peterson,2020,11,CAR,7,18.0,0,0.0,0.0,0.0,-2.448163896566257,0,0,1,0.0,0,1.8,1.8
00-0025394,A.Peterson,2020,12,HOU,15,55.0,2,0.0,0.0,5.0,0.6680482541560195,0,0,0,0.0,0,17.5,17.5
00-0025394,A.Peterson,2020,13,CHI,16,57.0,2,0.0,0.0,4.0,1.17945299911662,0,0,1,0.0,0,17.7,17.7
00-0025394,A.Peterson,2020,14,GB,4,7.0,0,0.0,0.0,0.0,-1.6666039655101486,0,1,1,23.0,0,4.0,3.0
00-0025394,A.Peterson,2020,15,TEN,6,23.0,0,0.0,0.0,1.0,-0.12502956943353638,0,0,0,0.0,0,2.3000000000000003,2.3000000000000003
00-0025394,A.Peterson,2020,16,TB,4,10.0,0,0.0,0.0,1.0,-1.1419198750518262,0,0,0,0.0,0,1.0,1.0
00-0025394,A.Peterson,2020,17,MIN,7,63.0,1,0.0,0.0,3.0,5.17290326487273,0,0,0,0.0,0,12.3,12.3
00-0027029,L.McCoy,2020,1,NO,0,0.0,0,0.0,0.0,0.0,,0,1,1,2.0,0,1.2,0.2
00-0027029,L.McCoy,2020,2,CAR,1,-5.0,0,0.0,0.0,0.0,-0.5089305153815076,0,5,7,26.0,0,7.1,2.1
00-0027029,L.McCoy,2020,3,DEN,0,0.0,0,0.0,0.0,0.0,,0,2,4,24.0,0,4.4,2.4000000000000004
00-0027029,L.McCoy,2020,4,LAC,1,3.0,0,0.0,0.0,0.0,-0.2518435581587255,0,1,1,3.0,0,1.6,0.6000000000000001
00-0027029,L.McCoy,2020,6,GB,4,1.0,0,0.0,0.0,0.0,-3.737582467147149,0,1,1,6.0,0,1.7000000000000002,0.7000000000000001
00-0027029,L.McCoy,2020,14,MIN,4,32.0,0,0.0,0.0,2.0,2.5696363685419783,0,1,1,3.0,0,4.5,3.5
00-0027029,L.McCoy,2020,15,ATL,0,0.0,0,0.0,0.0,0.0,,0,3,3,32.0,0,6.2,3.2
00-0027029,L.McCoy,2020,16,DET,0,0.0,0,0.0,0.0,0.0,,0,1,1,5.0,0,1.5,0.5
00-0027966,M.Ingram,2020,1,CLE,10,29.0,0,0.0,0.0,1.0,-1.98265189176891,0,0,0,0.0,0,2.9000000000000004,2.9000000000000004
00-0027966,M.Ingram,2020,2,HOU,9,55.0,1,0.0,0.0,2.0,4.205200329510262,0,2,3,22.0,0,15.7,13.7
00-0027966,M.Ingram,2020,3,KC,7,30.0,0,0.0,0.0,2.0,-0.5225856088800356,0,0,1,0.0,0,3.0,3.0
00-0027966,M.Ingram,2020,4,WAS,8,34.0,1,0.0,0.0,2.0,1.0752839804044925,0,1,1,3.0,0,10.7,9.7
00-0027966,M.Ingram,2020,5,CIN,11,57.0,0,0.0,0.0,2.0,-1.7799531558412127,0,0,0,0.0,0,5.7,5.7
00-0027966,M.Ingram,2020,6,PHI,5,20.0,0,0.0,0.0,1.0,0.032433660817332566,0,0,0,0.0,0,2.0,2.0
00-0027966,M.Ingram,2020,10,NE,5,5.0,0,0.0,0.0,0.0,-5.681163094239309,0,2,2,24.0,0,4.9,2.9000000000000004
00-0027966,M.Ingram,2020,11,TEN,2,2.0,0,0.0,0.0,0.0,-0.9321883728262037,0,0,0,0.0,0,0.2,0.2
00-0027966,M.Ingram,2020,13,DAL,6,28.0,0,0.0,0.0,3.0,0.967551808047574,0,1,1,1.0,0,3.9000000000000004,2.9000000000000004
00-0027966,M.Ingram,2020,17,CIN,9,39.0,0,0.0,0.0,1.0,-0.9514945859555155,0,0,0,0.0,0,3.9000000000000004,3.9000000000000004
00-0028063,T.Jones,2020,5,TEN,0,0.0,0,0.0,0.0,0.0,,0,0,1,0.0,0,0.0,0.0
00-0028063,T.Jones,2020,16,NE,0,0.0,0,0.0,0.0,0.0,,0,0,1,0.0,0,0.0,0.0
00-0028074,A.Sherman,2020,1,HOU,1,2.0,0,0.0,0.0,1.0,2.1788603148888797,0,0,0,0.0,0,0.2,0.2
00-0028074,A.Sherman,2020,3,BAL,1,0.0,0,0.0,0.0,0.0,-3.262742165243253,0,1,1,5.0,1,7.5,6.5
00-0028074,A.Sherman,2020,14,MIA,0,0.0,0,0.0,0.0,0.0,,0,0,1,0.0,0,0.0,0.0
00-0028074,A.Sherman,2020,17,LAC,1,6.0,0,0.0,0.0,1.0,0.6761400909163058,0,0,0,0.0,0,0.6000000000000001,0.6000000000000001
00-0028087,D.Lewis,2020,1,PIT,1,1.0,0,0.0,0.0,0.0,-0.5149949113838375,0,0,1,0.0,0,0.1,0.1
00-0028087,D.Lewis,2020,2,CHI,10,20.0,1,0.0,0.0,2.0,-0.5275124482577667,0,4,5,36.0,0,15.600000000000001,11.600000000000001
00-0028087,D.Lewis,2020,3,SF,1,0.0,0,0.0,0.0,0.0,-0.5894726337864995,0,1,3,10.0,0,2.0,1.0
00-0028087,D.Lewis,2020,4,LA,1,10.0,0,0.0,0.0,1.0,0.7743736107368022,0,2,3,8.0,0,3.8,1.8
00-0028087,D.Lewis,2020,5,DAL,0,0.0,0,0.0,0.0,0.0,,0,2,4,1.0,0,2.1,0.1
00-0028087,D.Lewis,2020,6,WAS,0,0.0,0,0.0,0.0,0.0,,0,1,1,10.0,0,2.0,1.0
00-0028087,D.Lewis,2020,7,PHI,3,23.0,0,1.0,1.0,1.0,-1.7881281227164436,0,0,0,0.0,0,0.30000000000000027,0.30000000000000027
00-0028087,D.Lewis,2020,8,TB,0,0.0,0,0.0,0.0,0.0,,0,2,3,8.0,1,8.8,6.8
00-0028087,D.Lewis,2020,9,WAS,3,5.0,0,0.0,0.0,0.0,-3.9409789834171534,0,2,2,16.0,0,4.1,2.1
00-0028087,D.Lewis,2020,10,PHI,0,0.0,0,0.0,0.0,0.0,,0,2,2,17.0,0,3.7,1.7000000000000002
00-0028087,D.Lewis,2020,12,CIN,2,10.0,0,0.0,0.0,1.0,1.5814155204422198,0,1,3,7.0,0,2.7,1.7000000000000002
00-0028087,D.Lewis,2020,13,SEA,3,6.0,0,0.0,0.0,0.0,-0.23116192419547588,0,0,0,0.0,0,0.6000000000000001,0.6000000000000001
00-0028087,D.Lewis,2020,14,ARI,2,14.0,1,0.0,0.0,1.0,0.6078954423428513,0,0,0,0.0,0,7.4,7.4
00-0028087,D.Lewis,2020,15,CLE,1,4.0,0,0.0,0.0,0.0,-0.7553670807392336,0,2,2,14.0,0,3.8,1.8
