player_id,player_name,season,week,opponent_team,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,fantasy_points_ppr,fantasy_points
00-0022127,J.Witten,2020,1,CAR,1,1,2.0,0,0.0,0.0,2.0,0.0,0.0,-1.301103974755736,0,1.2,0.2
00-0022127,J.Witten,2020,2,NO,1,1,3.0,0,0.0,0.0,3.0,0.0,1.0,0.5630775582976639,0,1.3,0.30000000000000004
00-0022127,J.Witten,2020,4,BUF,2,2,18.0,1,0.0,0.0,18.0,0.0,2.0,2.744480317865964,0,9.8,7.8
00-0022127,J.Witten,2020,5,KC,2,2,6.0,0,0.0,0.0,-1.0,7.0,1.0,0.04388044506777078,0,2.6,0.6000000000000001
00-0022127,J.Witten,2020,7,TB,1,1,6.0,0,0.0,0.0,3.0,3.0,0.0,0.14533771586138755,0,1.6,0.6000000000000001
00-0022127,J.Witten,2020,8,CLE,2,2,21.0,0,0.0,0.0,21.0,0.0,2.0,3.0514817577204667,0,4.1,2.1
00-0022127,J.Witten,2020,9,LAC,1,1,0.0,0,0.0,0.0,-1.0,1.0,0.0,-0.5867160251364112,0,1.0,0.0
00-0022127,J.Witten,2020,11,KC,1,1,1.0,1,0.0,0.0,1.0,0.0,1.0,1.5501768851536326,0,7.1,6.1
00-0022127,J.Witten,2020,13,NYJ,0,1,0.0,0,0.0,0.0,9.0,0.0,0.0,-1.2499386366689578,0,0.0,0.0
00-0022127,J.Witten,2020,16,MIA,2,5,12.0,0,0.0,0.0,36.0,9.0,1.0,-2.553498084200057,0,3.2,1.2000000000000002
00-0024243,M.Lewis,2020,2,DET,1,1,4.0,0,0.0,0.0,0.0,4.0,0.0,-0.20354302588384598,0,1.4,0.4
00-0024243,M.Lewis,2020,3,NO,1,2,18.0,1,0.0,0.0,16.0,3.0,1.0,1.3263870977098122,0,8.8,7.8
00-0024243,M.Lewis,2020,6,TB,0,2,0.0,0,0.0,0.0,22.0,0.0,0.0,-1.5361462789587677,0,0.0,0.0
00-0024243,M.Lewis,2020,7,HOU,1,3,9.0,0,0.0,0.0,28.0,5.0,0.0,-0.679676856554579,0,1.9,0.9
00-0024243,M.Lewis,2020,9,SF,1,1,1.0,1,0.0,0.0,1.0,0.0,1.0,0.7201934120967053,0,7.1,6.1
00-0024243,M.Lewis,2020,11,IND,1,1,8.0,0,0.0,0.0,5.0,3.0,1.0,1.1847677062032744,0,1.8,0.8
00-0024243,M.Lewis,2020,12,CHI,2,4,16.0,1,0.0,0.0,17.0,13.0,2.0,0.8354841485852376,0,9.6,7.6
00-0024243,M.Lewis,2020,13,PHI,1,1,36.0,0,0.0,0.0,14.0,22.0,1.0,2.714344181935303,0,4.6,3.6
00-0024243,M.Lewis,2020,14,DET,1,1,6.0,0,0.0,0.0,6.0,0.0,0.0,0.01532261073589325,0,1.6,0.6000000000000001
00-0024243,M.Lewis,2020,17,CHI,1,1,9.0,0,0.0,0.0,2.0,7.0,0.0,-0.4636866193031892,0,1.9,0.9
00-0024243,M.Lewis,2020,20,TB,3,3,28.0,0,0.0,0.0,12.0,16.0,1.0,2.3011262252693996,0,5.800000000000001,2.8000000000000003
00-0025418,G.Olsen,2020,1,ATL,4,4,24.0,1,0.0,0.0,19.0,5.0,2.0,2.7865732829086483,0,12.4,8.4
00-0025418,G.Olsen,2020,2,NE,0,1,0.0,0,0.0,0.0,5.0,0.0,0.0,-9.325733868172392,0,0.0,0.0
00-0025418,G.Olsen,2020,3,DAL,5,6,61.0,0,0.0,0.0,53.0,9.0,4.0,5.715838875039481,0,11.100000000000001,6.1000000000000005
00-0025418,G.Olsen,2020,4,MIA,5,7,35.0,0,0.0,0.0,57.0,2.0,3.0,0.5245271706953645,0,8.5,3.5
00-0025418,G.Olsen,2020,5,MIN,1,1,20.0,0,0.0,0.0,15.0,5.0,1.0,1.2528772529913113,0,3.0,2.0
00-0025418,G.Olsen,2020,7,ARI,2,3,18.0,0,0.0,0.0,37.0,4.0,2.0,1.7405067736981437,0,3.8,1.8
00-0025418,G.Olsen,2020,8,SF,0,4,0.0,0,0.0,0.0,17.0,0.0,0.0,-2.2091534314095043,0,0.0,0.0
00-0025418,G.Olsen,2020,9,BUF,2,3,13.0,0,0.0,0.0,19.0,4.0,0.0,0.20568962540710345,0,3.3,1.3
00-0025418,G.Olsen,2020,10,LA,2,4,33.0,0,0.0,0.0,39.0,8.0,2.0,-1.3621779640670866,0,5.300000000000001,3.3000000000000003
00-0025418,G.Olsen,2020,11,ARI,2,2,20.0,0,0.0,0.0,11.0,9.0,1.0,1.799332340946421,0,4.0,2.0
00-0025418,G.Olsen,2020,16,LA,1,2,15.0,0,0.0,0.0,17.0,3.0,1.0,0.9990963333984837,0,2.5,1.5
