player_id,player_name,season,week,opponent_team,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,fantasy_points_ppr,fantasy_points
00-0022921,L.Fitzgerald,2020,1,SF,4,5,34.0,0,0.0,0.0,15.0,23.0,2.0,1.3585642774123698,0,7.4,3.4000000000000004
00-0022921,L.Fitzgerald,2020,2,WAS,7,7,50.0,0,0.0,0.0,25.0,25.0,4.0,5.975730845297221,0,12.0,5.0
00-0022921,L.Fitzgerald,2020,3,DET,1,3,0.0,0,0.0,0.0,21.0,0.0,0.0,-7.686332971439697,0,1.0,0.0
00-0022921,L.Fitzgerald,2020,4,CAR,2,3,4.0,0,0.0,0.0,27.0,2.0,0.0,-1.5021463597659022,0,2.4,0.4
00-0022921,L.Fitzgerald,2020,5,NYJ,4,7,35.0,0,0.0,0.0,48.0,19.0,2.0,-0.3310320528689772,0,7.5,3.5
00-0022921,L.Fitzgerald,2020,6,DAL,3,4,22.0,0,0.0,0.0,27.0,3.0,2.0,2.097770241887248,0,5.2,2.2
00-0022921,L.Fitzgerald,2020,7,SEA,8,8,62.0,0,0.0,0.0,37.0,25.0,2.0,1.8443138496950269,0,14.2,6.2
00-0022921,L.Fitzgerald,2020,9,MIA,4,5,54.0,0,0.0,0.0,55.0,8.0,4.0,3.570451569561854,0,9.4,5.4
00-0022921,L.Fitzgerald,2020,10,BUF,2,5,13.0,0,0.0,0.0,31.0,12.0,1.0,-7.221413503849709,0,3.3,1.3
00-0022921,L.Fitzgerald,2020,11,SEA,8,10,62.0,0,0.0,0.0,43.0,49.0,3.0,1.5028711482300423,0,14.2,6.2
00-0022921,L.Fitzgerald,2020,14,NYG,2,3,10.0,0,0.0,0.0,8.0,5.0,1.0,-2.003845631494187,0,3.0,1.0
00-0022921,L.Fitzgerald,2020,15,PHI,3,4,35.0,1,0.0,0.0,55.0,2.0,3.0,2.582192756177392,0,12.5,9.5
00-0022921,L.Fitzgerald,2020,16,SF,6,8,28.0,0,0.0,0.0,40.0,12.0,1.0,-1.958475085964892,0,8.8,2.8000000000000003
00-0025396,T.Ginn,2020,1,DET,0,1,0.0,0,0.0,0.0,17.0,0.0,0.0,-3.245735666481778,0,0.0,0.0
00-0025396,T.Ginn,2020,3,ATL,1,3,29.0,0,0.0,0.0,97.0,6.0,1.0,3.2676955109927803,0,3.9000000000000004,2.9000000000000004
00-0025396,T.Ginn,2020,4,IND,2,2,11.0,0,0.0,0.0,7.0,4.0,0.0,-0.6326099005527794,0,3.1,1.1
00-0026035,D.Amendola,2020,1,CHI,5,7,81.0,0,0.0,0.0,67.0,22.0,4.0,6.323142931680195,0,13.1,8.1
00-0026035,D.Amendola,2020,2,GB,2,7,21.0,0,0.0,0.0,87.0,6.0,1.0,-8.481858892017044,0,4.1,2.1
00-0026035,D.Amendola,2020,3,ARI,1,4,18.0,0,0.0,0.0,37.0,16.0,1.0,-3.041097799661853,0,2.8,1.8
00-0026035,D.Amendola,2020,4,NO,2,3,57.0,0,0.0,0.0,24.0,37.0,1.0,2.635822522919625,0,7.7,5.7
00-0026035,D.Amendola,2020,6,JAX,2,2,31.0,0,0.0,0.0,13.0,18.0,2.0,2.7568064108490944,0,5.1,3.1
00-0026035,D.Amendola,2020,7,ATL,3,4,62.0,0,0.0,0.0,45.0,26.0,2.0,3.0733908578404225,0,9.2,6.2
00-0026035,D.Amendola,2020,8,IND,3,4,54.0,0,0.0,0.0,41.0,16.0,3.0,5.687076784728561,0,8.4,5.4
00-0026035,D.Amendola,2020,9,MIN,7,10,77.0,0,0.0,0.0,46.0,52.0,5.0,1.4816463207573813,0,14.9,7.9
00-0026035,D.Amendola,2020,10,WAS,3,3,10.0,0,0.0,0.0,-8.0,15.0,1.0,-0.11108773079467937,0,4.0,1.0
00-0026035,D.Amendola,2020,13,CHI,3,5,62.0,0,0.0,0.0,60.0,9.0,3.0,4.250422241631895,0,9.2,6.2
00-0026035,D.Amendola,2020,14,GB,6,7,66.0,0,0.0,0.0,40.0,38.0,4.0,2.635437572549563,0,12.600000000000001,6.6000000000000005
00-0026035,D.Amendola,2020,15,TEN,3,4,20.0,0,0.0,0.0,33.0,6.0,1.0,-1.3682657948811539,0,5.0,2.0
00-0026035,D.Amendola,2020,16,TB,5,7,37.0,0,0.0,0.0,51.0,28.0,1.0,-3.571071488142479,0,8.7,3.7
00-0026035,D.Amendola,2020,17,MIN,1,2,6.0,0,0.0,0.0,22.0,1.0,1.0,0.04706336138769984,0,1.6,0.6000000000000001
00-0026189,D.Jackson,2020,1,WAS,2,7,46.0,0,0.0,0.0,214.0,7.0,2.0,0.3254670492315199,0,6.6000000000000005,4.6000000000000005
00-0026189,D.Jackson,2020,2,LA,6,9,64.0,0,0.0,0.0,68.0,9.0,4.0,3.691552022122778,0,12.4,6.4
00-0026189,D.Jackson,2020,3,CIN,2,4,11.0,0,0.0,0.0,64.0,6.0,1.0,-3.9796423967927694,0,3.1,1.1
00-0026189,D.Jackson,2020,7,NYG,3,5,34.0,0,0.0,0.0,45.0,3.0,2.0,0.8584005946468367,0,7.6000000000000005,4.6000000000000005
00-0026189,D.Jackson,2020,16,DAL,1,1,81.0,1,0.0,0.0,41.0,40.0,1.0,6.4412247855216265,0,15.1,14.1
00-0027150,J.Edelman,2020,1,MIA,5,7,57.0,0,0.0,0.0,61.0,22.0,4.0,2.59668218519073,0,13.0,8.0
00-0027150,J.Edelman,2020,2,SEA,8,11,179.0,0,0.0,0.0,172.0,25.0,7.0,13.1573812776478,0,25.900000000000002,17.900000000000002
00-0027150,J.Edelman,2020,3,LV,2,6,23.0,0,0.0,0.0,72.0,4.0,2.0,-2.479811263314245,0,4.2,2.2
00-0027150,J.Edelman,2020,4,KC,3,6,35.0,0,0.0,0.0,37.0,6.0,3.0,-3.580078430532012,0,6.5,3.5
00-0027150,J.Edelman,2020,6,DEN,2,6,8.0,0,0.0,0.0,35.0,3.0,1.0,-2.4705108219846816,0,4.32,2.3200000000000003
00-0027150,J.Edelman,2020,7,SF,1,3,13.0,0,0.0,0.0,24.0,4.0,1.0,-7.569401931599714,0,2.3,1.3
00-0027685,E.Sanders,2020,1,TB,3,5,15.0,1,0.0,0.0,24.0,6.0,2.0,0.03850762180682077,0,10.5,7.5
00-0027685,E.Sanders,2020,2,LV,1,3,18.0,0,0.0,0.0,22.0,1.0,1.0,-0.9961894810548984,0,2.8,1.8
00-0027685,E.Sanders,2020,3,GB,4,5,56.0,1,0.0,0.0,61.0,2.0,4.0,8.075770459661726,0,15.600000000000001,11.600000000000001
00-0027685,E.Sanders,2020,4,DET,6,9,93.0,0,0.0,0.0,104.0,19.0,5.0,-1.250537057290785,0,15.3,9.3
00-0027685,E.Sanders,2020,5,LAC,12,14,122.0,0,1.0,0.0,114.0,18.0,5.0,7.188609681825578,0,24.200000000000003,12.200000000000001
00-0027685,E.Sanders,2020,9,TB,4,5,38.0,1,0.0,0.0,34.0,4.0,3.0,5.026277889031917,0,13.8,9.8
00-0027685,E.Sanders,2020,10,SF,1,1,5.0,0,0.0,0.0,1.0,4.0,1.0,1.592980634450214,0,1.5,0.5
