age,games_played,team_encoded,fg_attempts_per_game,fg_makes_per_game,fg_percentage,xp_attempts_per_game,xp_percentage,long_range_accuracy,mid_range_accuracy,kickoff_touchback_pct,points_per_game,target
29,8,16,2.625,2.125,0.81,2.125,0.941,1.0,0.5,0.024,8.375,2.125
29,7,24,2.857142857142857,2.142857142857143,0.75,1.1428571428571428,0.875,0.6666666666666666,0.6666666666666666,0.29600000000000004,7.428571428571429,2.142857142857143
25,8,5,2.375,2.25,0.9470000000000001,2.25,1.0,1.0,0.8333333333333334,0.136,9.0,2.25
31,7,19,2.7142857142857144,2.4285714285714284,0.895,1.7142857142857142,1.0,0.7142857142857143,1.0,0.162,9.0,2.4285714285714284
41,8,4,2.125,2.125,1.0,1.125,1.0,1.0,1.0,0.207,7.5,2.125
34,7,1,2.4285714285714284,1.8571428571428572,0.765,3.142857142857143,1.0,0.6666666666666666,0.8,0.146,8.714285714285714,1.8571428571428572
30,7,27,2.4285714285714284,2.4285714285714284,1.0,1.5714285714285714,0.909,1.0,1.0,0.16699999999999998,8.714285714285714,2.4285714285714284
30,8,20,2.0,2.0,1.0,3.375,0.963,1.0,1.0,0.3,9.25,2.0
34,7,5,2.2857142857142856,2.0,0.875,2.4285714285714284,1.0,0.8571428571428571,1.0,0.05,8.428571428571429,2.0
24,7,0,2.2857142857142856,2.0,0.875,1.8571428571428572,1.0,0.7142857142857143,1.0,0.114,7.857142857142857,2.0
30,8,25,1.875,1.5,0.8,3.125,0.88,0.6,0.5,0.182,7.25,1.5
25,8,0,1.875,1.625,0.867,1.875,0.867,0.6666666666666666,1.0,0.17600000000000002,6.5,1.625
26,7,26,2.142857142857143,1.8571428571428572,0.867,2.2857142857142856,1.0,0.6666666666666666,0.8333333333333334,0.111,7.857142857142857,1.8571428571428572
30,7,29,2.0,1.5714285714285714,0.7859999999999999,1.1428571428571428,1.0,0.5,1.0,0.179,5.857142857142857,1.5714285714285714
31,7,1,2.0,1.4285714285714286,0.7140000000000001,2.5714285714285716,1.0,0.5714285714285714,1.0,0.18899999999999997,6.857142857142857,1.4285714285714286
23,7,24,2.0,1.4285714285714286,0.7140000000000001,3.0,0.905,0.5,0.75,0.314,7.0,1.4285714285714286
22,7,20,2.0,1.4285714285714286,0.7140000000000001,2.142857142857143,0.9329999999999999,0.3333333333333333,0.6,0.273,6.285714285714286,1.4285714285714286
26,5,13,2.8,2.6,0.929,2.8,1.0,0.5,1.0,0.07400000000000001,10.6,2.6
23,8,17,1.625,1.5,0.9229999999999999,2.875,0.9129999999999999,1.0,0.6666666666666666,0.14,7.125,1.5
24,7,5,1.8571428571428572,1.7142857142857142,0.9229999999999999,2.7142857142857144,0.9470000000000001,0.5,1.0,0.079,7.714285714285714,1.7142857142857142
34,5,25,2.6,1.8,0.6920000000000001,3.0,0.9329999999999999,0.6666666666666666,0.0,0.24100000000000002,8.2,1.8
26,8,31,1.625,1.375,0.846,2.375,1.0,0.3333333333333333,1.0,0.10800000000000001,6.5,1.375
41,7,10,1.8571428571428572,1.7142857142857142,0.9229999999999999,3.142857142857143,0.955,1.0,1.0,0.11900000000000001,8.142857142857142,1.7142857142857142
27,8,22,1.625,1.25,0.769,1.625,0.9229999999999999,0.6666666666666666,0.5,0.067,5.25,1.25
26,8,16,1.5,1.375,0.917,2.375,1.0,0.0,1.0,0.10800000000000001,6.5,1.375
26,7,5,1.5714285714285714,1.1428571428571428,0.727,3.857142857142857,1.0,0.4,1.0,0.14300000000000002,7.285714285714286,1.1428571428571428
31,8,12,1.375,1.25,0.909,2.625,1.0,1.0,0.6666666666666666,0.256,6.375,1.25
34,5,21,2.2,1.8,0.818,2.4,1.0,0.5,1.0,0.08,7.8,1.8
30,8,6,1.125,0.875,0.778,3.125,1.0,0.75,0.6666666666666666,0.1,5.75,0.875
26,3,30,4.0,3.0,0.75,1.6666666666666667,1.0,0.0,0.75,0.353,10.666666666666666,3.0
26,1,27,3.0,1.0,0.33299999999999996,2.0,1.0,0.0,0.0,0.5,5.0,1.0
26,2,21,4.5,4.0,0.889,1.5,1.0,0.0,0.75,0.308,13.5,4.0
38,4,21,2.0,2.0,1.0,1.5,1.0,1.0,1.0,0.0,7.5,2.0
26,2,25,2.0,2.0,1.0,3.0,1.0,1.0,1.0,0.364,9.0,2.0
30,3,13,1.0,1.0,1.0,4.333333333333333,0.9229999999999999,0.0,1.0,0.053,7.0,1.0
31,1,27,3.0,2.0,0.667,2.0,1.0,0.0,0.5,0.2,8.0,2.0
25,4,21,0.5,0.5,1.0,3.0,0.75,0.0,0.0,0.4,3.75,0.5
29,2,30,0.5,0.5,1.0,1.0,1.0,0.0,1.0,0.0,2.5,0.5
29,1,24,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,4.0,1.0
29,1,1,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
28,8,21,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.125,0.0,0.0
29,17,20,2.764705882352941,2.3529411764705883,0.851,1.7647058823529411,1.0,0.8235294117647058,0.875,0.489,8.823529411764707,2.3529411764705883
33,17,5,2.588235294117647,2.411764705882353,0.932,2.0588235294117645,1.0,0.8666666666666667,0.875,0.544,9.294117647058824,2.411764705882353
24,17,5,2.4705882352941178,2.2941176470588234,0.929,2.1176470588235294,0.917,0.8181818181818182,0.9166666666666666,0.691,8.823529411764707,2.2941176470588234
30,17,19,2.4705882352941178,2.1176470588235294,0.857,2.1176470588235294,0.9440000000000001,0.8125,0.8,0.47700000000000004,8.352941176470589,2.1176470588235294
29,17,16,2.411764705882353,2.176470588235294,0.902,1.6470588235294117,0.929,0.8571428571428571,0.7142857142857143,0.767,8.058823529411764,2.176470588235294
29,17,29,2.3529411764705883,2.0,0.85,1.4705882352941178,0.92,0.6363636363636364,0.75,0.638,7.352941176470588,2.0
30,16,13,2.3125,1.9375,0.838,2.0625,1.0,0.3333333333333333,1.0,0.8290000000000001,7.875,1.9375
29,17,6,2.1176470588235294,1.6470588235294117,0.778,2.823529411764706,0.9790000000000001,0.14285714285714285,0.8888888888888888,0.818,7.705882352941177,1.6470588235294117
22,17,24,2.0,1.7058823529411764,0.853,2.1176470588235294,0.889,0.8571428571428571,0.6666666666666666,0.7140000000000001,7.0,1.7058823529411764
30,14,27,2.4285714285714284,1.7857142857142858,0.735,1.8571428571428572,1.0,0.6666666666666666,0.6363636363636364,0.33299999999999996,7.214285714285714,1.7857142857142858
30,17,12,2.0,1.8235294117647058,0.912,2.7058823529411766,1.0,0.7142857142857143,1.0,0.737,8.176470588235293,1.8235294117647058
25,14,27,2.4285714285714284,1.7142857142857142,0.706,2.357142857142857,0.97,0.4444444444444444,0.5454545454545454,0.721,7.428571428571429,1.7142857142857142
28,17,17,1.9411764705882353,1.5294117647058822,0.7879999999999999,1.5294117647058822,0.9620000000000001,0.6666666666666666,0.7142857142857143,0.657,6.0588235294117645,1.5294117647058822
28,17,16,1.8823529411764706,1.7647058823529411,0.938,3.2941176470588234,0.9640000000000001,0.8,1.0,0.7140000000000001,8.470588235294118,1.7647058823529411
25,13,26,2.4615384615384617,2.1538461538461537,0.875,2.076923076923077,0.963,1.0,0.6363636363636364,0.8059999999999999,8.461538461538462,2.1538461538461537
26,17,30,1.8235294117647058,1.588235294117647,0.871,1.9411764705882353,0.9390000000000001,0.75,0.875,0.26899999999999996,6.588235294117647,1.588235294117647
33,17,1,1.7647058823529411,1.5294117647058822,0.867,2.3529411764705883,0.925,0.75,0.875,0.535,6.764705882352941,1.5294117647058822
23,13,0,2.3076923076923075,1.8461538461538463,0.8,2.923076923076923,1.0,0.7272727272727273,0.7142857142857143,0.838,8.461538461538462,1.8461538461538463
28,9,1,3.3333333333333335,3.0,0.9,2.6666666666666665,0.917,0.4,1.0,0.233,11.444444444444445,3.0
35,17,5,1.7647058823529411,1.2941176470588236,0.733,3.6470588235294117,0.968,0.5454545454545454,0.625,0.716,7.411764705882353,1.2941176470588236
27,17,10,1.7058823529411764,1.411764705882353,0.828,3.764705882352941,0.922,1.0,0.6363636363636364,0.728,7.705882352941177,1.411764705882353
25,17,5,1.7058823529411764,1.5294117647058822,0.897,3.9411764705882355,0.955,0.75,0.875,0.773,8.352941176470589,1.5294117647058822
21,17,20,1.7058823529411764,1.588235294117647,0.9309999999999999,1.588235294117647,1.0,0.8333333333333334,0.8888888888888888,0.855,6.352941176470588,1.588235294117647
34,16,22,1.6875,1.125,0.667,1.25,0.85,0.5,0.625,0.581,4.4375,1.125
29,17,0,1.5294117647058822,1.2941176470588236,0.846,2.0588235294117645,0.943,0.5,0.75,0.444,5.823529411764706,1.2941176470588236
29,13,25,1.9230769230769231,1.6153846153846154,0.84,2.3846153846153846,0.935,0.4,1.0,0.79,7.076923076923077,1.6153846153846154
33,17,21,1.4705882352941178,1.2352941176470589,0.84,1.5294117647058822,0.9620000000000001,0.8888888888888888,0.625,0.535,5.176470588235294,1.2352941176470589
40,14,24,1.5714285714285714,1.5,0.955,1.7857142857142858,1.0,1.0,0.8888888888888888,0.638,6.285714285714286,1.5
25,12,31,1.8333333333333333,1.3333333333333333,0.727,3.1666666666666665,0.9740000000000001,0.42857142857142855,0.6,0.7709999999999999,7.083333333333333,1.3333333333333333
33,11,25,1.9090909090909092,1.8181818181818181,0.9520000000000001,2.727272727272727,1.0,1.0,0.75,0.44299999999999995,8.181818181818182,1.8181818181818181
25,7,30,2.5714285714285716,1.7142857142857142,0.667,2.5714285714285716,1.0,0.0,0.5555555555555556,0.474,7.714285714285714,1.7142857142857142
25,6,25,2.8333333333333335,2.0,0.706,2.6666666666666665,1.0,0.0,0.5555555555555556,0.515,8.666666666666666,2.0
25,1,24,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.2,2.0,0.0
