age,games_played,team_encoded,attempts_per_game,yards_per_attempt,yards_per_game,target
26,8,13,17.875,5.944055944055944,106.25,106.25
29,8,27,17.5,3.5,61.25,61.25
26,7,10,18.0,5.976190476190476,107.57142857142857,107.57142857142857
27,7,25,17.714285714285715,3.6048387096774195,63.857142857142854,63.857142857142854
25,8,20,15.5,5.104838709677419,79.125,79.125
27,8,12,15.0,5.283333333333333,79.25,79.25
22,7,22,16.857142857142858,4.11864406779661,69.42857142857143,69.42857142857143
24,8,4,14.625,4.965811965811966,72.625,72.625
22,7,29,15.857142857142858,4.009009009009009,63.57142857142857,63.57142857142857
31,7,5,15.571428571428571,4.678899082568807,72.85714285714286,72.85714285714286
28,8,24,13.625,3.889908256880734,53.0,53.0
24,8,16,13.375,5.037383177570093,67.375,67.375
25,7,24,15.285714285714286,4.411214953271028,67.42857142857143,67.42857142857143
27,8,0,13.25,5.7075471698113205,75.625,75.625
23,7,27,15.142857142857142,5.179245283018868,78.42857142857143,78.42857142857143
23,7,5,14.857142857142858,5.0576923076923075,75.14285714285714,75.14285714285714
23,8,21,12.625,4.0594059405940595,51.25,51.25
30,8,30,12.5,3.63,45.375,45.375
26,7,21,14.285714285714286,4.64,66.28571428571429,66.28571428571429
25,8,31,12.125,3.948453608247423,47.875,47.875
26,7,20,13.857142857142858,5.298969072164948,73.42857142857143,73.42857142857143
25,7,1,13.571428571428571,4.526315789473684,61.42857142857143,61.42857142857143
26,7,0,12.571428571428571,4.3522727272727275,54.714285714285715,54.714285714285715
27,8,17,10.375,3.36144578313253,34.875,34.875
27,6,5,13.833333333333334,4.493975903614458,62.166666666666664,62.166666666666664
24,8,1,10.25,4.902439024390244,50.25,50.25
30,7,19,11.428571428571429,4.0125,45.857142857142854,45.857142857142854
26,6,0,13.166666666666666,3.569620253164557,47.0,47.0
28,7,5,11.142857142857142,4.551282051282051,50.714285714285715,50.714285714285715
26,8,25,9.75,4.217948717948718,41.125,41.125
26,8,16,9.625,3.727272727272727,35.875,35.875
24,6,1,12.0,2.8472222222222223,34.166666666666664,34.166666666666664
23,4,16,17.75,3.3380281690140845,59.25,59.25
22,5,5,13.2,4.757575757575758,62.8,62.8
30,8,25,7.75,3.9516129032258065,30.625,30.625
25,7,27,8.714285714285714,3.3934426229508197,29.571428571428573,29.571428571428573
27,8,6,7.25,3.5689655172413794,25.875,25.875
24,5,5,10.8,5.166666666666667,55.8,55.8
26,7,4,7.571428571428571,5.433962264150943,41.142857142857146,41.142857142857146
23,8,17,6.625,4.30188679245283,28.5,28.5
23,8,17,6.375,4.901960784313726,31.25,31.25
29,7,10,7.0,5.326530612244898,37.285714285714285,37.285714285714285
26,7,5,7.0,4.510204081632653,31.571428571428573,31.571428571428573
23,7,30,6.714285714285714,4.1063829787234045,27.571428571428573,27.571428571428573
30,8,25,5.75,6.086956521739131,35.0,35.0
26,6,21,7.5,3.533333333333333,26.5,26.5
25,5,1,8.8,4.795454545454546,42.2,42.2
24,8,12,5.5,4.545454545454546,25.0,25.0
22,7,21,6.142857142857143,4.534883720930233,27.857142857142858,27.857142857142858
23,7,21,6.0,4.428571428571429,26.571428571428573,26.571428571428573
25,7,24,5.857142857142857,4.7073170731707314,27.571428571428573,27.571428571428573
25,8,12,4.875,4.384615384615385,21.375,21.375
21,8,16,4.75,3.0526315789473686,14.5,14.5
27,8,5,4.625,6.702702702702703,31.0,31.0
26,8,27,4.5,4.0,18.0,18.0
26,4,26,8.75,2.7714285714285714,24.25,24.25
24,7,21,5.0,3.7142857142857144,18.571428571428573,18.571428571428573
26,7,25,5.0,4.628571428571429,23.142857142857142,23.142857142857142
30,3,26,10.666666666666666,2.96875,31.666666666666668,31.666666666666668
23,7,20,4.571428571428571,4.0625,18.571428571428573,18.571428571428573
30,8,31,3.875,6.225806451612903,24.125,24.125
25,8,30,3.875,5.387096774193548,20.875,20.875
28,8,13,3.75,2.8666666666666667,10.75,10.75
26,7,20,4.285714285714286,3.7666666666666666,16.142857142857142,16.142857142857142
23,4,26,7.25,5.517241379310345,40.0,40.0
24,5,26,5.8,3.5172413793103448,20.4,20.4
28,5,26,5.8,5.9655172413793105,34.6,34.6
21,8,22,3.5,1.8214285714285714,6.375,6.375
28,8,21,3.5,3.0,10.5,10.5
25,6,1,4.5,4.407407407407407,19.833333333333332,19.833333333333332
24,7,19,3.857142857142857,6.555555555555555,25.285714285714285,25.285714285714285
27,5,17,5.0,4.24,21.2,21.2
27,7,25,3.5714285714285716,4.36,15.571428571428571,15.571428571428571
32,8,20,3.125,3.48,10.875,10.875
22,8,25,3.125,3.0,9.375,9.375
27,6,27,3.8333333333333335,2.4782608695652173,9.5,9.5
24,4,24,5.75,5.478260869565218,31.5,31.5
24,8,16,2.875,3.3043478260869565,9.5,9.5
21,4,20,5.5,2.9545454545454546,16.25,16.25
26,7,10,3.142857142857143,2.090909090909091,6.571428571428571,6.571428571428571
30,8,16,2.75,7.181818181818182,19.75,19.75
35,7,29,3.142857142857143,3.272727272727273,10.285714285714286,10.285714285714286
26,8,22,2.625,3.4761904761904763,9.125,9.125
28,4,5,5.25,7.904761904761905,41.5,41.5
26,6,0,3.5,3.2857142857142856,11.5,11.5
28,4,20,5.0,5.85,29.25,29.25
21,8,0,2.375,4.842105263157895,11.5,11.5
21,4,4,4.5,4.222222222222222,19.0,19.0
22,7,13,2.5714285714285716,3.6666666666666665,9.428571428571429,9.428571428571429
31,3,0,6.0,3.388888888888889,20.333333333333332,20.333333333333332
32,4,1,4.5,6.777777777777778,30.5,30.5
24,7,0,2.5714285714285716,3.8333333333333335,9.857142857142858,9.857142857142858
23,8,4,2.125,6.411764705882353,13.625,13.625
25,6,27,2.8333333333333335,2.5294117647058822,7.166666666666667,7.166666666666667
37,7,24,2.4285714285714284,-0.11764705882352941,-0.2857142857142857,-0.2857142857142857
28,7,5,2.2857142857142856,5.625,12.857142857142858,12.857142857142858
30,8,1,2.0,8.9375,17.875,17.875
33,4,29,4.0,5.0,20.0,20.0
23,8,24,2.0,2.5,5.0,5.0
37,5,21,3.2,5.875,18.8,18.8
27,3,5,5.0,4.066666666666666,20.333333333333332,20.333333333333332
28,7,10,2.142857142857143,4.266666666666667,9.142857142857142,9.142857142857142
24,8,30,1.875,8.466666666666667,15.875,15.875
24,1,20,5.0,2.4,12.0,12.0
24,7,6,1.4285714285714286,11.5,16.428571428571427,16.428571428571427
30,2,1,7.0,3.0714285714285716,21.5,21.5
22,4,5,3.5,2.5714285714285716,9.0,9.0
36,3,4,4.666666666666667,5.714285714285714,26.666666666666668,26.666666666666668
40,7,30,1.8571428571428572,2.3076923076923075,4.285714285714286,4.285714285714286
40,4,22,1.5,2.1666666666666665,3.25,3.25
40,3,31,2.3333333333333335,2.4285714285714284,5.666666666666667,5.666666666666667
27,6,6,2.0,5.0,10.0,10.0
26,7,5,1.7142857142857142,2.5,4.285714285714286,4.285714285714286
31,7,5,1.5714285714285714,2.090909090909091,3.2857142857142856,3.2857142857142856
35,4,30,2.75,0.18181818181818182,0.5,0.5
27,2,5,5.5,8.363636363636363,46.0,46.0
28,7,21,1.5714285714285714,3.3636363636363638,5.285714285714286,5.285714285714286
26,1,5,11.0,2.727272727272727,30.0,30.0
42,7,5,1.5714285714285714,1.6363636363636365,2.5714285714285716,2.5714285714285716
27,8,16,1.375,3.4545454545454546,4.75,4.75
33,5,0,2.2,5.181818181818182,11.4,11.4
33,4,26,2.5,4.7,11.75,11.75
28,7,1,1.4285714285714286,4.1,5.857142857142857,5.857142857142857
26,7,1,1.4285714285714286,2.7,3.857142857142857,3.857142857142857
25,3,19,3.3333333333333335,2.6,8.666666666666666,8.666666666666666
26,4,29,2.5,2.5,6.25,6.25
29,4,31,2.25,4.333333333333333,9.75,9.75
23,3,27,3.0,6.666666666666667,20.0,20.0
29,7,1,1.2857142857142858,5.111111111111111,6.571428571428571,6.571428571428571
24,8,16,1.125,6.777777777777778,7.625,7.625
22,2,16,4.5,3.111111111111111,14.0,14.0
25,8,24,1.0,4.5,4.5,4.5
26,6,26,1.3333333333333333,11.25,15.0,15.0
24,8,24,1.0,2.125,2.125,2.125
22,7,25,1.1428571428571428,5.625,6.428571428571429,6.428571428571429
32,4,13,1.75,5.285714285714286,9.25,9.25
25,6,22,1.1666666666666667,4.285714285714286,5.0,5.0
24,3,17,2.3333333333333335,4.714285714285714,11.0,11.0
22,2,0,3.5,7.142857142857143,25.0,25.0
23,8,12,0.875,7.714285714285714,6.75,6.75
23,3,5,2.3333333333333335,7.285714285714286,17.0,17.0
26,2,27,3.5,4.285714285714286,15.0,15.0
23,6,6,1.1666666666666667,4.0,4.666666666666667,4.666666666666667
24,7,25,1.0,4.0,4.0,4.0
23,4,0,1.5,6.166666666666667,9.25,9.25
