,accuracy,auc,baseline,hit_rate,improvement
rb_under_40_yards,1.0,1.0,0.7039354520006587,0.29606454799934134,0.29606454799934134
rb_no_td,1.0,1.0,0.7068993907459246,0.29310060925407544,0.29310060925407544
wr_over_50_yards,1.0,1.0,0.7162851967726,0.28371480322739995,0.28371480322739995
wr_over_75_yards,1.0,1.0,0.7457599209616335,0.25424007903836654,0.25424007903836654
wr_over_100_yards,0.9993413469454965,0.9999943158861764,0.7711180635600198,0.22888193643998023,0.2282232833854767
wr_under_40_yards,1.0,1.0,0.8228223283385476,0.17717767166145232,0.17717767166145237
wr_over_5_catches,1.0,1.0,0.7166145232998518,0.2833854767001482,0.28338547670014824
wr_over_7_catches,1.0,1.0,0.7404906965256051,0.2595093034743949,0.25950930347439494
wr_under_4_catches,1.0,1.0,0.8368187057467479,0.1631812942532521,0.16318129425325212
wr_any_td,1.0,1.0,0.6583237279762885,0.34167627202371154,0.34167627202371154
wr_over_8_targets,1.0,1.0,0.7111806356001976,0.2888193643998024,0.2888193643998024
wr_over_10_targets,1.0,1.0,0.7268236456446566,0.2731763543553433,0.2731763543553434
